"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2013","1,372.44","1,398.74","1,400.07","1,365.24","-","-1.88%"
"Dec 02, 2013","1,398.74","1,402.93","1,414.17","1,396.89","-","-0.30%"
"Nov 29, 2013","1,402.93","1,406.51","1,412.58","1,393.05","-","-0.25%"
"Nov 28, 2013","1,406.51","1,404.31","1,414.14","1,403.25","-","0.16%"
"Nov 27, 2013","1,404.31","1,416.43","1,425.49","1,403.84","-","-0.86%"
"Nov 26, 2013","1,416.43","1,433.55","1,444.51","1,413.97","-","-1.19%"
"Nov 25, 2013","1,433.55","1,444.91","1,452.85","1,432.18","-","-0.79%"
"Nov 22, 2013","1,444.91","1,425.86","1,447.86","1,425.14","-","1.34%"
"Nov 21, 2013","1,425.86","1,447.20","1,447.20","1,423.06","-","-1.47%"
"Nov 20, 2013","1,447.20","1,455.04","1,455.05","1,434.72","-","-0.54%"
"Nov 19, 2013","1,455.04","1,462.98","1,466.23","1,449.96","-","-0.54%"
"Nov 18, 2013","1,462.98","1,444.24","1,463.52","1,444.24","-","1.30%"
"Nov 15, 2013","1,444.24","1,434.44","1,449.31","1,431.93","-","0.68%"
"Nov 14, 2013","1,434.44","1,406.92","1,439.31","1,406.36","-","1.96%"
"Nov 13, 2013","1,406.92","1,437.37","1,439.78","1,406.01","-","-2.12%"
"Nov 12, 2013","1,437.37","1,427.93","1,438.83","1,422.43","-","0.66%"
"Nov 11, 2013","1,427.93","1,435.12","1,443.32","1,427.64","-","-0.50%"
"Nov 08, 2013","1,435.12","1,468.22","1,468.22","1,430.25","-","-2.25%"
"Nov 07, 2013","1,468.22","1,458.93","1,476.15","1,455.92","-","0.64%"
"Nov 06, 2013","1,458.93","1,460.23","1,466.68","1,454.80","-","-0.09%"
"Nov 05, 2013","1,460.23","1,475.18","1,479.83","1,459.66","-","-1.01%"
"Nov 01, 2013","1,475.18","1,480.42","1,484.74","1,472.20","-","-0.35%"
"Oct 31, 2013","1,480.42","1,493.14","1,495.60","1,473.44","-","-0.85%"
"Oct 30, 2013","1,493.14","1,491.56","1,503.04","1,487.95","-","0.11%"
"Oct 29, 2013","1,491.56","1,493.11","1,496.30","1,485.20","-","-0.10%"
"Oct 28, 2013","1,493.11","1,492.20","1,504.93","1,489.41","-","0.06%"
"Oct 25, 2013","1,492.20","1,493.85","1,498.41","1,484.25","-","-0.11%"
"Oct 24, 2013","1,493.85","1,494.96","1,501.70","1,488.69","-","-0.07%"
"Oct 23, 2013","1,494.96","1,518.54","1,520.78","1,492.10","-","-1.55%"
"Oct 22, 2013","1,518.54","1,514.39","1,521.05","1,503.83","-","0.27%"
"Oct 21, 2013","1,514.39","1,516.62","1,520.10","1,504.51","-","-0.15%"
"Oct 18, 2013","1,516.62","1,491.85","1,520.25","1,490.20","-","1.66%"
"Oct 17, 2013","1,491.85","1,500.25","1,508.90","1,478.45","-","-0.56%"
"Oct 16, 2013","1,500.25","1,495.31","1,506.39","1,486.98","-","0.33%"
