"Date","Price","Open","High","Low","Vol.","Change %"
"May 19, 1993","1,147.22","1,129.10","1,147.22","1,127.43","-","1.50%"
"May 18, 1993","1,130.26","1,140.04","1,148.34","1,128.75","-","-0.86%"
"May 17, 1993","1,140.04","1,162.07","1,162.07","1,097.61","-","-2.35%"
"May 14, 1993","1,167.47","1,180.46","1,201.44","1,161.19","-","-0.83%"
"May 13, 1993","1,177.28","1,140.21","1,177.28","1,140.21","-","3.27%"
"May 12, 1993","1,140.05","1,138.62","1,160.42","1,134.75","-","0.29%"
"May 11, 1993","1,136.74","1,124.85","1,138.49","1,107.66","-","0.75%"
"May 10, 1993","1,128.29","1,216.72","1,221.98","1,110.94","-","-5.96%"
"May 07, 1993","1,199.81","1,194.26","1,210.78","1,159.16","-","3.17%"
"May 06, 1993","1,162.92","1,250.39","1,250.39","1,151.49","-","-6.73%"
"May 05, 1993","1,246.82","1,232.65","1,273.13","1,204.06","-","0.46%"
"May 04, 1993","1,241.16","1,352.08","1,365.92","1,234.55","-","-8.21%"
"May 03, 1993","1,352.24","1,379.71","1,380.50","1,349.74","-","-0.48%"
"Apr 30, 1993","1,358.78","1,341.54","1,363.11","1,336.59","-","0.67%"
"Apr 29, 1993","1,349.68","1,377.04","1,392.62","1,348.38","-","-1.66%"
"Apr 28, 1993","1,372.50","1,371.10","1,382.83","1,357.91","-","0.66%"
"Apr 27, 1993","1,363.44","1,379.43","1,391.42","1,360.83","-","1.33%"
"Apr 26, 1993","1,345.61","1,298.92","1,345.73","1,282.54","-","6.77%"
"Apr 23, 1993","1,260.25","1,288.51","1,295.76","1,255.87","-","-0.56%"
"Apr 22, 1993","1,267.35","1,227.10","1,267.35","1,220.27","-","3.66%"
"Apr 21, 1993","1,222.56","1,234.71","1,243.47","1,220.09","-","-1.05%"
"Apr 20, 1993","1,235.52","1,257.10","1,257.10","1,233.72","-","1.01%"
"Apr 19, 1993","1,223.22","1,203.85","1,241.86","1,185.76","-","0.70%"
"Apr 16, 1993","1,214.75","1,282.79","1,287.08","1,211.83","-","-5.01%"
"Apr 15, 1993","1,278.84","1,265.30","1,298.34","1,255.94","-","0.51%"
